timestamp,open,high,low,close,volume
2022-10-31,72.3700,74.6500,66.1450,66.2500,10606821
2022-10-28,72.0000,73.7200,69.3500,72.0700,7372115
2022-10-27,74.5100,75.6500,71.5100,72.4700,5967614
2022-10-26,75.2800,78.2900,73.1001,73.8100,14148193
2022-10-25,67.0100,75.4000,66.9600,75.0500,14446936
2022-10-24,67.4000,68.1500,63.6800,66.3900,8111715
2022-10-21,63.4000,66.6300,61.7000,66.3800,9156365
2022-10-20,63.1400,67.4300,62.7000,63.5900,8938669
2022-10-19,64.8200,66.8900,62.5518,63.1900,8601141
2022-10-18,72.9000,73.9000,65.3000,66.2100,13874738
2022-10-17,66.4800,70.9500,66.3400,69.1700,11263274
2022-10-14,71.8500,73.7900,63.3800,63.5900,13711603
2022-10-13,63.6600,69.6300,61.0600,69.2600,18341964
2022-10-12,69.7400,71.8500,67.8200,69.9500,8998949
2022-10-11,67.6100,72.6900,65.0250,70.1600,17705645
2022-10-10,67.5800,69.2600,65.4301,67.0400,7713993
2022-10-07,70.8500,71.1000,65.5000,67.0000,11427931
2022-10-06,73.0700,76.2774,71.3405,73.9100,11103663
2022-10-05,71.8000,73.4782,69.2800,72.9700,9222677
2022-10-04,69.0900,74.6300,69.0800,74.5000,11881433
2022-10-03,64.9500,67.8600,61.9200,65.9500,10949180
2022-09-30,61.2500,67.5900,61.0737,64.4900,10210275
2022-09-29,64.6200,65.0300,60.2600,61.9400,11508191
2022-09-28,62.8000,67.7400,62.7600,67.3100,8482667
2022-09-27,65.2900,67.5500,61.8842,63.0500,11860469
2022-09-26,62.9800,66.3300,62.1800,62.2800,9562579
2022-09-23,61.5600,63.1500,59.4347,61.8800,10932912
2022-09-22,67.4000,68.9800,62.3100,62.9400,11084877
2022-09-21,68.9000,72.2400,67.4301,67.6400,12344591
2022-09-20,68.0900,69.8000,66.1700,67.9400,7974478
2022-09-19,71.8800,72.5400,67.0000,69.9300,13135272
2022-09-16,75.1500,76.3699,73.5982,74.0000,17088966
2022-09-15,77.6300,82.0000,76.6250,77.2300,10950143
2022-09-14,75.3000,79.2000,74.1100,78.7000,10840704
2022-09-13,75.3400,78.0900,74.3500,75.2500,11235328
2022-09-12,82.6000,84.5800,80.6000,82.5500,12554936
2022-09-09,78.2000,81.0400,75.1500,80.8700,15393378
2022-09-08,66.3600,73.3300,65.5000,73.0800,9241494
2022-09-07,62.0000,68.7700,61.8300,68.2500,8408351
2022-09-06,65.5600,66.8800,62.6000,62.7800,7442907
2022-09-02,67.7100,68.1400,63.8200,65.2600,6392835
2022-09-01,65.5500,65.9900,61.9100,65.5300,8046563
2022-08-31,68.7000,70.3800,66.6581,66.8000,6707941
2022-08-30,67.9650,69.4500,64.6300,67.0300,8293471
2022-08-29,65.5100,69.4000,65.4600,66.3400,7903271
2022-08-26,71.7100,71.7999,65.3419,66.7400,9797324
2022-08-25,71.8400,72.4500,68.5200,71.3700,8563518
2022-08-24,71.8800,74.3200,70.7100,71.4800,6675538
2022-08-23,71.9500,76.4100,70.6000,71.1800,9598286
2022-08-22,70.9100,74.9400,70.2900,71.4700,9082357
2022-08-19,76.0000,78.2513,74.0100,74.0600,13727856
2022-08-18,86.3300,86.3600,81.4200,83.4700,7923316
2022-08-17,87.5050,88.6400,84.7704,85.4400,10697919
2022-08-16,90.5500,95.5000,84.2397,90.3900,17055022
2022-08-15,89.1100,93.6799,88.5900,91.9700,11001934
2022-08-12,85.2300,92.4800,83.2899,90.4900,13755196
2022-08-11,97.2500,98.7000,82.3100,84.0000,23247255
2022-08-10,89.9800,95.0000,88.0000,94.1400,23818204
2022-08-09,93.8900,93.8900,85.6000,87.6800,17411400
2022-08-08,97.8400,103.5500,93.8096,98.0200,18878661
2022-08-05,86.5800,98.8700,86.5200,93.0500,24865731
2022-08-04,106.1000,116.3000,86.7850,88.9000,54342800
2022-08-03,69.0500,82.2500,67.6100,80.8100,24784175
